"FullName","LastWriteTime"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\supervisor_state.json","05/08/2026 18:11:08"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\engine_advisor_state.json","05/08/2026 18:09:47"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\output_aradhana\earrings\_edit_reports\_batch\EDITED_FILES_REPORT.json","05/08/2026 18:05:06"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\output_aradhana\earrings\_edit_reports\ER22_105\EDIT_VERDICT.json","05/08/2026 18:05:06"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\progress_earrings.json","05/08/2026 18:05:06"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\catalogue_db.json","05/08/2026 18:05:06"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\output_aradhana\earrings\_edit_reports\ER22_7\EDIT_VERDICT.json","05/08/2026 17:58:57"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\output_aradhana\earrings\_edit_reports\ER22_1\EDIT_VERDICT.json","05/08/2026 17:58:53"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\output_aradhana\earrings\_edit_reports\ER22_3\EDIT_VERDICT.json","05/08/2026 17:58:50"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\copilot_session_5.json","05/08/2026 17:54:41"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\copilot_session_4.json","05/08/2026 17:54:35"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\copilot_session_3.json","05/08/2026 17:54:28"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\copilot_session_2.json","05/08/2026 17:54:22"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\copilot_session.json","05/08/2026 17:54:15"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\tests\test_stock_category_routes.py","05/08/2026 17:47:11"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\templates\index.html","05/08/2026 17:46:23"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\app.py","05/08/2026 17:46:04"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\engine_cascade.py","05/08/2026 17:45:21"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\output_aradhana\earrings\_edit_reports\ER22_25\EDIT_VERDICT.json","05/08/2026 17:36:26"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_pipeline.py","05/08/2026 17:36:17"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\pipeline2_loop.py","05/08/2026 17:30:23"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\tests\test_processing_engine.py","05/08/2026 17:29:15"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\tests\test_engine_wiring.py","05/08/2026 17:29:01"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\tests\test_manual_variety_routing.py","05/08/2026 17:28:21"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\tests\test_ornament_placement.py","05/08/2026 17:27:46"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\engine_config.json","05/08/2026 17:27:14"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\comfy_local_img.py","05/08/2026 17:26:41"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\capture_tool.py","05/08/2026 17:26:32"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\processing_engine.py","05/08/2026 17:18:24"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\retire_auto2_20260805_171410\index.html","05/08/2026 17:14:11"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\retire_auto2_20260805_171410\pipeline2_loop.py","05/08/2026 17:14:11"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\retire_auto2_20260805_171410\processing_engine.py","05/08/2026 17:14:11"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\retire_auto2_20260805_171410\processing_worker.py","05/08/2026 17:14:11"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\retire_auto2_20260805_171410\autonomous_pipeline.py","05/08/2026 17:14:11"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\retire_auto2_20260805_171410\app.py","05/08/2026 17:14:11"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\LAUNCH_CATALOG_UI.bat","05/08/2026 17:03:24"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\tests\test_routing_preview.py","05/08/2026 16:53:23"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\tests\test_item_routing.py","05/08/2026 16:53:19"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\tests\test_variety_output_integration.py","05/08/2026 16:52:24"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\item_routing.py","05/08/2026 16:51:40"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\test_variant_c.py","05/08/2026 15:57:01"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\catalogue_db_20260805_160913.json","05/08/2026 15:47:35"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\capture_dedup.json","05/08/2026 15:44:44"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\test_comfy_local.py","05/08/2026 15:36:20"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\test_upload_and_run.py","05/08/2026 15:35:22"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\test_upload.py","05/08/2026 15:34:13"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\EDITED_FILES_REPORT.json","05/08/2026 15:23:46"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\BL22_102\EDIT_VERDICT.json","05/08/2026 15:23:46"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\BL22_102\upload_audit.json","05/08/2026 15:23:30"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\BL22_102\count_confirmation.json","05/08/2026 15:23:29"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\BL22_102\viewpoint_metadata.json","05/08/2026 15:23:29"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\TP18_2\EDIT_VERDICT.json","05/08/2026 15:23:25"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\TP18_2\upload_audit.json","05/08/2026 15:23:13"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\TP18_2\count_confirmation.json","05/08/2026 15:23:13"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\TP18_2\viewpoint_metadata.json","05/08/2026 15:23:13"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\LR22_10\EDIT_VERDICT.json","05/08/2026 15:23:12"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\LR22_10\upload_audit.json","05/08/2026 15:22:56"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\LR22_10\count_confirmation.json","05/08/2026 15:22:55"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_production_smoke_test\LR22_10\viewpoint_metadata.json","05/08/2026 15:22:55"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\run_production_smoke_test.py","05/08/2026 15:22:46"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\bali_viewpoint_correction_test\EDITED_FILES_REPORT.json","05/08/2026 15:16:50"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\bali_viewpoint_correction_test\BALI_22\EDIT_VERDICT.json","05/08/2026 15:16:50"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\bali_viewpoint_correction_test\BALI_22\UPLOAD_AUDIT.json","05/08/2026 15:16:30"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\bali_viewpoint_correction_test\BALI_22\VIEWPOINT_CONFIRMATION.json","05/08/2026 15:16:29"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\bali_viewpoint_correction_test\BALI_18\EDIT_VERDICT.json","05/08/2026 15:16:23"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\bali_viewpoint_correction_test\BALI_18\UPLOAD_AUDIT.json","05/08/2026 15:16:07"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\bali_viewpoint_correction_test\BALI_18\VIEWPOINT_CONFIRMATION.json","05/08/2026 15:16:06"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_13_category_validation\reports\EDITED_FILES_REPORT.json","05/08/2026 15:16:00"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_13_category_validation\02_BALI_22\EDIT_VERDICT.json","05/08/2026 15:16:00"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\variant_c_13_category_validation\01_BALI_18\EDIT_VERDICT.json","05/08/2026 15:16:00"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\templates\variant_c_review.html","05/08/2026 15:15:54"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\variant_c_production_promotion_20260805_152219\variant_c_review.html","05/08/2026 15:15:54"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\run_bali_viewpoint.py","05/08/2026 15:15:34"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\variant_c_production_promotion_20260805_152219\run_bali_viewpoint.py","05/08/2026 15:15:34"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\variant_c_production_promotion_20260805_152219\variant_c_pipeline.py","05/08/2026 15:15:09"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\variant_c_production_promotion_20260805_152219\edit_report_service.py","05/08/2026 15:14:51"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\edit_report_service.py","05/08/2026 15:14:51"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\reports\EDITED_FILES_REPORT.json","05/08/2026 15:14:20"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\WATI_22_SINGLE_FIX\EDIT_VERDICT.json","05/08/2026 15:14:20"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\WATI_22_SINGLE_FIX\SHADOW_QA.json","05/08/2026 15:14:20"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\WATI_22_SINGLE_FIX\workflow_submitted.json","05/08/2026 15:14:05"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\WATI_22_SINGLE_FIX\UPLOAD_AUDIT.json","05/08/2026 15:14:05"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\WATI_22_SINGLE_FIX\CROP_METADATA.json","05/08/2026 15:14:05"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\WATI_22_SINGLE_FIX\COUNT_CONFIRMATION.json","05/08/2026 15:14:05"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\WATI_22_SINGLE_FIX\DESIGN_VISIBILITY_REVIEW.json","05/08/2026 15:14:05"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\run_wati_correction.py","05/08/2026 15:13:55"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\backups\variant_c_production_promotion_20260805_152219\run_wati_correction.py","05/08/2026 15:13:55"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\WATI_22\EDIT_VERDICT.json","05/08/2026 15:04:37"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\WATI_22\COUNT_CONFIRMATION.json","05/08/2026 15:04:37"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\BALI_22\EDIT_VERDICT.json","05/08/2026 15:04:32"
"C:\Users\kaila\Desktop\JewelleryCatalogTool\ZOOM_COUNT_CORRECTION_TEST\BALI_22\CROP_METADATA.json","05/08/2026 15:04:02"
