Item,Full Source Dims,Ref Dims,Crop Coords,Ref Mode,Jewellery BBox Est,Area Pct,Long Edge in Ref,Est Size After Scaling,Genuinely Cropped,Status
5 BALI 18,6192x4128,3100x2300,"[500, 100, 3600, 2400]",TRUE_TIGHT_REFERENCE,Unknown,100%,3100,Unknown,Yes,TRUE_TIGHT_REFERENCE
6 BALI 22,6192x4128,4350x3100,"[850, 400, 5200, 3500]",TRUE_TIGHT_REFERENCE,Unknown,100%,4350,Unknown,Yes,TRUE_TIGHT_REFERENCE
10 EARRING 22,1440x1920,1440x1920,"FULL_SOURCE",FULL_SOURCE_REFERENCE,Unknown,20%,1920,Unknown,No,SUBJECT_TOO_SMALL
16 GENTS RING 22,1920x1440,1920x1440,"FULL_SOURCE",FULL_SOURCE_REFERENCE,Unknown,20%,1920,Unknown,No,SUBJECT_TOO_SMALL
32 JHUMKA 22,6192x4128,3600x2400,"[1300, 1000, 4900, 3400]",TRUE_TIGHT_REFERENCE,Unknown,100%,3600,Unknown,Yes,TRUE_TIGHT_REFERENCE
37 LADIES RING 18,1920x1440,1920x1440,"FULL_SOURCE",FULL_SOURCE_REFERENCE,Unknown,20%,1920,Unknown,No,SUBJECT_TOO_SMALL
38 LADIES RING 22,6192x4128,1700x1300,"[900, 1100, 2600, 2400]",TRUE_TIGHT_REFERENCE,Unknown,100%,1700,Unknown,Yes,TRUE_TIGHT_REFERENCE
39 LOCKET 18,1440x1920,1440x1920,"FULL_SOURCE",FULL_SOURCE_REFERENCE,Unknown,20%,1920,Unknown,No,SUBJECT_TOO_SMALL
40 LOCKET 22,1440x1920,1440x1920,"FULL_SOURCE",FULL_SOURCE_REFERENCE,Unknown,20%,1920,Unknown,No,SUBJECT_TOO_SMALL
51 PENDENT 22,4000x3000,1200x1700,"[1000, 1000, 2200, 2700]",TRUE_TIGHT_REFERENCE,Unknown,100%,1700,Unknown,Yes,TRUE_TIGHT_REFERENCE
55 TOPS 18,1920x1440,1920x1440,"FULL_SOURCE",FULL_SOURCE_REFERENCE,Unknown,20%,1920,Unknown,No,SUBJECT_TOO_SMALL
56 TOPS 22,6192x4128,4300x3300,"[700, 500, 5000, 3800]",TRUE_TIGHT_REFERENCE,Unknown,100%,4300,Unknown,Yes,TRUE_TIGHT_REFERENCE
57 WATI 22,4000x3000,1500x1300,"[1200, 800, 2700, 2100]",TRUE_TIGHT_REFERENCE,Unknown,100%,1500,Unknown,Yes,TRUE_TIGHT_REFERENCE
