Item,Category Retained,Object Count Retained,Silhouette Retained,Proportion Retained,Stone Map Retained,Enamel Retained,Engraving Retained,Granulation Retained,Hooks/Bails Retained,Lower Elements Retained,Redesign Severity
5 BALI 18,Yes,Yes,No,No,No,No,No,No,No,No,4
6 BALI 22,Yes,Yes,No,No,No,No,No,No,No,No,4
10 EARRING 22,Yes,Yes,No,No,No,No,No,No,No,No,4
16 GENTS RING 22,Yes,Yes,No,No,No,No,No,No,No,No,4
32 JHUMKA 22,Yes,Yes,No,No,No,No,No,No,No,No,4
37 LADIES RING 18,Yes,Yes,No,No,No,No,No,No,No,No,4
38 LADIES RING 22,Yes,Yes,No,No,No,No,No,No,No,No,4
39 LOCKET 18,Yes,Yes,No,No,No,No,No,No,No,No,4
40 LOCKET 22,Yes,Yes,No,No,No,No,No,No,No,No,4
51 PENDENT 22,Yes,Yes,No,No,No,No,No,No,No,No,4
55 TOPS 18,Yes,Yes,No,No,No,No,No,No,No,No,4
56 TOPS 22,Yes,Yes,No,No,No,No,No,No,No,No,4
57 WATI 22,Yes,Yes,No,No,No,No,No,No,No,No,4
